,Review,
0,"Частые гости, в выходные часто посещаем!",positive
1,"Нереально вкусное мясо тут подают, теперь будем только к вам приходить",positive
2,Вкусно и обслуживание хорошее. Стейк. Вкусные и комплимент дают от заведения. Цивильное место.,positive
3,супер место,positive
4,Очень вкусно. Обслуживание отличное. Рекомендую.,positive
5,Вкусные обеды тут,positive
6,Очень вкусно,positive
7,Мясо то что надо🔥 сытно,positive
8,"Очень уютное , красивое заведение. Вчера ужинали, стейки хорошие, правильная прожарка , сочные👍🏻 Лимонад облепиховый супер. Обслуживание на высшем уровне.",positive
9,"Очень уютное место, встретились здесь с друзьями, на компанию из 7-8 человек, чек минимальный, блюда вкусные. В заведении чисто и тихо, были очень довольны сервисом)",positive
10,"Обслуживание на высоте, а мясо вообще🔥",positive
11,Заведение понравилось. Уютное. Комфортное. Пока приходим на завтраки. Очень нравятся. Теперь надо попробовать мясо 😄,positive
12,"Все было замечательно, вкусная кухня, отличное обслуживание, Дима - лучший! Спасибо за вечер!",positive
13,"Как положено встретила хостес, дружелюбно поприветствовал персонал, внутри хороший интерьер. Принесли блюда, красивая подача, но после наступило разочарование. Стейк был странной текстуры и легко разрезался вилкой (даже без ножа), а у медальонов неприятный запах и вкус. Подача красивая, но мясо не их конёк. На вкус и цвет 🤷🏻‍♀️",negative
14,"Пожалуй, лучшие стейки здесь!! 100% рекомендую!!!",positive
15,"Моя оценка: ⭐⭐⭐⭐⭐ (5/5)Отличное качество еды, приятная атмосфера и хороший сервис. 👍👍👍",positive
16,"Посетил этот ресторан, и у меня остались приятные впечатления. Уютная атмосфера, стильный интерьер и приятная музыка создают комфортное пространство для отдыха. Персонал вежливый и внимательный, официанты работают быстро и с улыбкой",positive
17,"Отличное место для любителей мяса! Стейки сочные, прожарка точная, обслуживание на высшем уровне. Атмосфера уютная, особенно понравилась живая музыка.",positive
18,"Очень классный ресторан👍 Мясо вкусное, особенно стейк. Официанты вежливые👍 обязательно ещё раз вернемся. Привет из Астаны🙌",positive
19,"Понравилось обслуживание, официанты очень внимательны, профессионалы своего дела. Кухня просто шикарная, пробовали стейки и бургеры, мясо нежное сочное! Бургер был сочным и наполненным. Спасибо этому заведению за хороший вечер!!!!",positive
20,"очень вкусная еда,подача, блюда очень вкусные 👍",positive
21,"Заказал стейк, мясо жесткое , не вкусное , в следующий раз точно не приду",negative
22,Очень хорошие блюда на гриле,positive
23,"Отстой . Цены космос , ожидание и реальность не стоит того.",negative
24,"Были с друзьями в этом заведении, приятный персонал, встретили проводили до нашего столика, вежливо взяли наши куртки - положили в шкафчик🥹Интерьер необычный ✨заказывали стейки, очень красиво это все было подано, и вкусно было)",positive
25,Уютно и вкусно спасибо всем прям дружно встретили я прям рада что сегодня были здесь топ❤️❤️❤️❤️,positive
26,"Отличное место, чтобы поесть вкусное мясо. Зарине отдельное спасибо",positive
27,"Хорошие шашлыки, стейки и пиво!",positive
28,Если будете заказывать на вынос то подумайте сто рааз! Сказали что заберем в 13:30 на 40 минут опоздали сидели и ждали. Персонал косо смотрел на нас хотя ресторан был пустой кроме нас было всего 2 стола с 11:30 не смогли приготовить заказ во время? 🫠🫠🫠🫠,negative
29,"Уютный ресторан, шикарный интерьер!",positive
30,"Самая вкусная кухня и вежливый персонал. Часто посещаем это заведение, все там чистенько❤️ и большая своя парковка и намазхана💙Есть все для комфортного времяпровождения ❤️",positive
31,Очень вкусно🥹🥹🥹 Сервис 👍🏻 Необычные блюда😍,positive
32,"Очень приятно было находиться у вас, кухня замечательная, персонал отличный, стейк семги выше всяких похвал 🫶🏻",positive
33,"Обстановка уютная. Готовят неплохо, хотя ест нюансы. Но в целом остались довольны",neutral
34,Очень было вкусно. Очень красивое и приятное место. Персонал молодцы.,positive
35,Отличное мясо) возьмите стейки!,positive
36,"Очень красивое место, девушка на входе максимально приятная. На этом всё. Судя по рейтингу и отзывам официант Дмитрий сам себе комментарии пишет😅 Заказали сет из шашлыков, морс и чай. Напитки принесли сразу, чай тоже, о времени подачи не уточнили. Мясо ждали 1 час 15 минут, вместо заявленных 20 минут. Ни извините, ни простите, Дмитрий сказал «с пылу с жару», по всей видимости это сарказм, так как горячая была лишь часть блюда.",negative
37,"Очень долго, одно блюдо готовится час, и в итоге еда чуть теплая.",negative
38,"Твердая пятерка. Качественное обслуживание, вкусная кухня, персонал очень отзывчивый. Официант Дмитрий и администратор Айгуль - вам отдельное спасибо. Пришли с ребенком, они играли с ним в прятки и тд, дав нам возможность немного спокойно покушать 😀На ресепшене девушка тоже очень приветливая.Вообщем рекомендую, еще придем обязательно.P.S еду фотографировать не умею, но рулька бомбовая.",positive
39,"Отметили день рождения в этом заведении, сказать что мы в восторге ничего не сказать! Сервис на высоте, администрация, официант Наталья за бест♥️ а кухня!!🤌🏻 просто пальчики оближешь! Мясо наисочнейшее, вкусное! Порции размер хороший, все очень вкусно и достойно! Попали на фуршет, где шеф-повар угостил всех гостей 3х метровым люля, для нас это было в качестве оперетива.Все чисто аккуратно, однозначно вернемся в это заведение! Еще нам дали скидку -15% в честь дня рождения и подарили метр люля! Ну не прелесть ли?)😍",positive
40,Отличный ресторан. Вкусное мясо. Ассортимент пива бы увеличить. Обслуживание отличное,positive
41,Вкусно и приятная атмосфера внутри.,positive
42,Самое вкусное мясо💓,positive
43,Очень шикарный ресторан ! Всем рекомендую !,positive
44,"На мой взгляд очень переоцененное место. Обстановка и обслуживание достойные, но кухня посредственная. Мясо не понравилось. Было намного вкуснее во многих местах Алматы. А салаты - это просто закуска для маленького ротика. Порции скудные. Не пойду сюда больше.",negative
45,"Руслан приготовил замечательный ужин, все понравилось, произведение искусства , видно что готовит с душой , я восхищен. 👏",positive
46,"Прекрасное место, отличная качественная кухня. Хорошее мясо, готовят именно так, как заказываете. Высокий уровень сервиса. Особенно приятно было заботливое внимание со стороны Азимова Дмитрия.Придем еще!",positive
47,Вкусненько!!!!,positive
48,"Очень понравилось, атмосфера, кухня, обслуживание, скидка в 30% очень порадовала",positive
49,Все очень вкусно. Спасибо большое заведению,positive
50,Хочу оставить честный отзыв . Ресторан на все сто. Там начиная от администратора девушки до поваров все идеально. Чисто спокойно вкусно красиво сервис просто нет слов. Я была с семьей мы все очень довольны остались . Александр и Дмитрий официанты они просто чудоооо я пока наслаждалась едой они присматривали за моей дочкой это очень миииило и приятно. Огромное вам спасибо . Мы обязательно будем возвращаться .,positive
51,"Отличный интерьер, уютная обстановка! Самое главное, это мясо! А мясо тут просто обалденное! Рекомендую вам посетить и попробовать стейк ""Томагавк""",positive
52,Вкусно атмосферно ❤️,positive
53,Асадо от шефа - огонь !,positive
54,"Спасибо шикарная кухня. Александр, Дмитрий были на высоте. Музыка и обстановка располагает.",positive
55,Дима и Александр 👍👍,neutral
56,"Безумно вкусно, шикарное обслуживание! Спасибо!",positive
57,Мясо очень очень вкусно,positive
58,"Қазақ тілінде мәзір жіберген жоқ, нашар‼️",negative
59,"Очень вкусно,, хороший интерьер, вежливый персонал 😍 еще возле дома!!!",positive
60,Все очень вкусноСпасибо большое за сервисОсобенно за обслуживаниеАзимову ДмитриюПо его рекомендации блюда отменныеВсе то что нам было нужно 😋😋😋😋😋Благодарю ☺️♥️,positive
61,"Очень понравилось заведение.Особенно томагавк, люблю такие класные стейки.В следущий раз приду вместе с друзьями!",positive
62,"Дима топовый! Тамогавк тоже, но не настолько как Дима.",neutral
63,"Хорошее заведение, все понравилось, Дмитрий лучший",positive
64,"Обычно тут бургеры вкусные, но вчера подали бугрер с говядиной, жёсткой, что жевать трудно было",negative
65,Хорошо 👍👍👍,positive
66,Все было очень вкусно спасибо большое! Обслуживание на высшем уровне!,positive
67,"Были в ресторане 3ий раз.Первый визит обслуживал Дмитрий, тогда было 10/10, он умеет слушать и слышать. Это было удовольствие 💯Второй визит обслуживал другой сотрудник+девушки(вроде как администратор) самое не приятное впечатление осталось именно от расчета, но кухня была 10/10И в 3ий раз заранее звонили бронировали. Пришли только из-за того что был Дмитрий🚀В след.раз вернемся также в его смену и к нему.Мои мужчины были довольны, мясо 🥩👌Салат с креветками фаворит, очень вкусная паста, медальоны отличные, но порции как будто стали меньше. Стейки те что 600 гр это 🚀👌Дмитрий благодарю за сервис, выше всех похвал, с Вами очень приятно находиться в данном заведений, есть вы, значит визит удастся на все 💯",positive
68,Креветки просто огонь!,positive
69,"Провели замечательно время с вкусными стейками, замечательным и внимательным обслуживанием. Было все очень вкусно и душевно. Благодарим за отличную атмосферу и настроение.",positive
70,"Салаты прекрасны. Стейк new york, мясные колбаски и шашлыки очень хороши. Рыба, увы, не так хороша. Вкусные чаи. Чувствуется, что заведение старается поддерживать хороший уровень.",positive
71,"В ресторане ""Мясоед"" ужинали 15.12.2024 года . Стейки очень вкусные, прожарка отличная именно та, что по требованию! Степень прожарки проверяется сразу по подачи блюда. Остальные блюда тоже очень вкусные. Красиво все оформлено! Повара отличные знатоки по приготовлению мяса! Обслуживание хорошее, внимательные аккуратные официанты. Рекомендую как место для отличного проведения времени и наслаждения вкусными блюдами!",positive
72,Хороший ресторан. Встретила улыбчивая девушка помогла с выбором стола предложила взять куртки что очень обрадовало. Кухня хорошая стейки вкусные. Будем еще приходить,positive
73,"Еті өте жұмсақ, дәмді екен👍официант Димаға көп рахмет! Бәріміздің көңілімізді тауып, купон берді😁кухня, обслуживание💯Күшті жер екен😎",positive
74,Спасибо очень вкусно!,positive
75,Хороший рестик администраторша красивая,positive
76,"Супер вкусное место. Все блюда вкусные и самое главное в заведении -это обслуживание, что Дмитрий сделал на все 100%. Очень чуткий и приятный официант, отметили день рождения мужа на ура 🙏🏼",positive
77,Дмитрий топ🔥,neutral
78,"Судя по всему очень разрекламированное место, на первый взгляд все очень хорошо, дизайн заведения современный и приятный, на этом плюсы в целом заканчиваются. На входе нас не встретили забрали куртки уже на месте, достаточно странно показалось. В заведении было мероприятие, достаточно громко, так что ничего не было слышно, хотя мы сидели за маленьким столиком, я даже думала уйти, но предвкушала поесть вкусного мяса. Я хотела конские ребра, которых не оказалось в наличие, официант предложил ребра по-техасски, я сказала что не очень хочу копченного, тогда он предложил брискет, сказал что очень вкусное, в итоге муж взял ребра по-техасски, которые в итоге оказались менее копченными (мой бриске оказался на порядок более копченным). Соус к брискету у оказался ужасно соленым, вкуса мяса в итоге там не было. По началу пока мясо было горячим оно было нежным, когда начало остывать, то стало трудно жующимся и режущимся (это он странно, ведь это не стейк, который очень быстро готовится и остается нежным пока горячий, это все таки полностью готовое мясо, на самом мероприятие ведущий сказал, что этот самый брискет коптится 12 часов, так почему он так быстро стал жестким?!) битый огурцы оказались самыми обычными малосольными огурцами без чего-либо еще, только соль. Молодой картофель тоже был совершенно не интересным. Заказали имбирный чай, попросили без меда, так как не пьем сладкие чаи, муж помимо прочего взял пиво и видимо из-за этого принесли только одну чайную пару, видимо это нормально литр чая в одного пить, пришлось попросить дополнительную чайную пару ( у меня такое впервые вообще, обычно либо автоматически приносят столько чайных пар сколько людей, либо спрашивают). Я заказала еще овощи гриль, которые тоже оказались без какого либо маринада, очень быстро приготовленные, обычно всегда овощи слегка приготовленные, а тут они абсолютно сырые, но поджаренные, вкус просто угля. Оставили 27 тысяч тенге, удовольствия - 0. Еще написала бы, но больше 2000 символов нельзя.",negative
79,"Были на гастроужине, перепробовали всё мясо. Очень вкусно. Сказали в какие-то дни есть 3-х метровый люля. Вернёмся) Спасибо шеф повару Сергею Александровичу🫶",positive
80,"Очень вкусная кухня! Мясо просто пальчики оближешь. Рекомендую посетить хотя бы один раз, но будьте готовы бронировать столик уже на следующий раз)",positive
81,Вкусное нежное мясо. Рекомендую,positive
82,"Неплохое мясо.Персонал на входе не совсем приветливый. Не стремятся разместить гостя уже на входе. Нужно подходить и говорить что ты бронировал стол. Не предлагают снять верхнюю одежду, просишь сам. Короче говоря, пока не попросишь сам, тебе ничего не предложат для комфорта",negative
83,"1. Невероятная атмосфера и обслуживание:Посетил этот ресторан с семьей, и мы остались в восторге! Интерьер продуман до мелочей, создавая уютную и стильную обстановку. Официанты были внимательными, но не назойливыми, что всегда приятно. Еда восхитительная, особенно паста с морепродуктами. Обязательно вернемся!",positive
84,"Отличное место для любителей мяса! Большие порции, сочные стейки, грамотная прожарка. Приятная атмосфера, дружелюбный персонал. Стоит посетить!",positive
85,"Не могу поставить больше звезд данному заведению. Я так долго выбирала куда сходить поужинать и почитав отзывы решила пойти сюда.Встретила девушка, улыбчивая, вежливая. Официант Дмитрий тоже хорошо обслужил, профессионально, атмосфера хорошая. Салаты были очень даже ничего, НО я шла поесть «офигенно» вкусное мясо. Мы заказали сет, печень была не прожаренная, утка не самой первой свежести. Единственное из всего этого, была более менее только люля. Отдали не малые деньги, а разочарование полнейшее. Не думаю что еще раз приду сюда.",neutral
86,"Вчера провели с супругой вечер в этом прекрасном ресторане, честно говоря очень понравилось место, персонал и группа которая выступала в этот вечер.На фотографии шеф повар, который неожиданно в середине вечера угостил всех гостей вкусным люля с овощами гриль ) я лично хоть и съел до этого отличный нью-йорк стейк, с удовольствием попробовал и угощение от шефа.Администратор и наш официант молодцы, приветливые и внимательные к просьбам клиентов. Нам не очень понравилось расположение нашего столика и нас пересадили как только появилась возможность.Если разложить на плюсы и минусы, то из плюсов можно выделить:- интерьер и теплая атмосфера;- вежливый и приветливый персонал;- хорошая кухня;- не навязчивая живая музыка, не слишком громко, не слишком долго, отличный репертуар;- наличие гардероба;- контингент посетителей;- удобная локация.Ну и раз уж оценка должна быть справедливой, то стоит и отметить минусы:- тесный туалет (хотя что важно чистый);- немного парковочных мест (но что они есть отдельно у ресторана уже хорошо);- нет отдельного места для курения, нужно выходить на улицу, но и там нет пепельницы.К посещению рекомендую!",positive
87,"Өте керемет рестаран, маған тамақтары ұнады, ең бастысы халал асханасы, намазханасы бар, еш уайымсыз намаз уақыты шығып кетпейді деп қорықпайсың. Асханасы өте керемет, тағамдары маған өте қатты ұнады. Алла разы болсын! Керемет ресторан!!!",positive
88,"Один из лучших ресторанов, который я посетила за последние пару лет! Еда потрясающая, заказывали разные блюда, мы с друзьями были впервые, мясо вкуснейшее. Обслуживание на высшем уровне, такие приятные люди работают, хочется возвращаться. Еще больше всего нас подкупило то, что официанты, бармен и девушки-хостес развлекали нашего сына 😁 И не ради чаевых, а прям от всей души играли с ним, показывали всё, носили на руках, угощали реченьками, чтобы мы могли спокойно поесть. А он прям не хотел с ними прощаться, тоже за такое короткое время успел привязаться) Хочу сказать СПАСИБО, вот прям большущее человеческое спасибо всей команде! Вы лучшие 🫶🏼 мы придем еще не раз",positive
89,"Недавно посетил мясной ресторан, и это было крутое открытие! Интерьер в стиле стейкхауса — дерево, кожа, приглушённый свет. Атмосфера располагает к уютному вечеру с хорошей едой. Официанты реально разбираются в мясе, с готовностью помогли выбрать идеальный стейк под мои предпочтения.Заказал рибай средней прожарки, и он оказался просто огонь! Мясо нежное, сочное, с правильной корочкой и ярким мясным вкусом. На гарнир взял картофель с розмарином — хрустящий снаружи и мягкий внутри. Соусы к стейку — отдельный респект, идеально дополняли блюдо, не перебивая вкус мяса.Цены, конечно, не самые низкие, но это то место, где понимаешь, за что платишь. Если ты фанат качественного мяса и ценишь настоящий стейк, это место точно стоит посетить. Сытно, вкусно и очень по-душевному!",positive
90,"Отличный ресторан с качественными морепродуктами, отличным сервисом и классной кухней. Рекомендую 👍🏻пришли на ужин по совету друзей, атмосфера просто бомба столики дволь речки все так красиво украшено. Заказали голову барана и бешбармак 21 века было необычно вкусно.",positive
91,"«Мясоед» — это настоящий рай для любителей сочного, качественного мяса. Ресторан специализируется на приготовлении блюд из первоклассных мясных продуктов, будь то стейки, шашлыки или бургеры. Каждое блюдо здесь готовится с душой и профессионализмом, чтобы раскрыть богатый вкус и аромат. Интерьер заведения выдержан в уютном стиле с элементами деревенской эстетики, создавая теплую и гостеприимную атмосферу. В меню также есть аппетитные закуски и гарниры, идеально дополняющие основное блюдо. «Мясоед» — это место, где качество еды и обслуживание стоят на первом месте, а атмосфера располагает к долгим приятным вечерам в кругу друзей или семьи.",positive
92,Күшті мейрамхана маған ұнады,positive
93,"Ресторан «Мясоед» впечатляет уютной атмосферой, вкусными блюдами, внимательным персоналом и стильной подачей.",positive
94,"Были с подругами, очень понравилось. Подача, атмосфера, вежливый и приветливый персонал. Вкусная еда и кофе. Можно поработать с ноутбуком. Обязательно вернусь.",positive
95,Хорошое заведения и вкусные питание,positive
96,"Недавно посетил кафе и остался в полном восторге! Атмосфера уютная и располагающая: мягкий свет, стильный интерьер и ненавязчивая музыка создают идеальные условия для отдыха.Обслуживание приятно удивило: персонал вежливый, внимательный и быстро реагирует на запросы. Официанты не только хорошо знают меню, но и могут порекомендовать блюда, исходя из предпочтений гостей.Меню разнообразное и включает блюда как для любителей классики, так и для тех, кто хочет попробовать что-то новое. Я заказал пасту и десерт — всё было свежим, вкусным и красиво подано. Особенно понравился авторский лимонад, который стал приятным дополнением к обеду.Цены вполне адекватные для такого уровня качества. Это место идеально подойдёт как для дружеских встреч, так и для романтического ужина. Обязательно вернусь сюда снова и порекомендую друзьям!",positive
97,"Недавно посетили стейк-хаус, и впечатления остались самые лучшие. Интерьер стильный, с акцентом на дерево и металл, что создаёт атмосферу уюта и тепла. Заказывали рибай средней прожарки — стейк был идеально приготовлен, сочный, с аппетитной корочкой и прекрасным вкусом. К нему подавали ароматный соус и свежий гарнир. Приятно удивил выбор вин — сомелье помог подобрать идеальное сочетание. Обслуживание выше всяких похвал: официанты внимательны, но ненавязчивы. Если вы любите мясо и ищете место для ужина высокого уровня, это заведение обязательно стоит посетить.",positive
98,Вкусно !!!,positive
99,"Спасибо заведению и ребятам, которые там работают. Вечер был отличный, еда вкусная и обслуживание на уровне!",positive
100,Заведение супер! Всегда вкусно и сервис на высоте. Спасибо за ваш труд!,positive
101,Очень вкусно поели с мужем ❤️ спасибо за вежливое обслуживание Дмитрию!!,positive
102,"По бывав с моей супругой,в этом прекрасном ресторане в первый раз, получили много приятного впечатления.Очень вкусно, атмосферно, к персоналу вообще отдельное спасибо.Тот случай когда шикарное заведение не только ценится вкусной едой но и соответствует сервису.Отдельное спасибо Официанту Дмитрию за прекрасное обслуживание. И очень приятной девушки администратору за тёплые пожелания.",positive
103,"Прекрасное место, на день рождения сделали комплимент, очень приятно ! Администратору и официанту большой Рахмет! Поварам респект !",positive
104,Все четко. Вкусно. Даулет ты лучший,positive
105,Бәрі керемет болды! 👍,positive
106,"Посетили ресторан семьей, остались очень довольны, заказали стейки очень вкусные и сочные, салат из баклажан поразил.Очень хорошо обслужил Дмитрий.Рекомендуем к посещееию",positive
107,"Обзор у меня в инстаграм ALEXMITCH6 Отличный ресторан с акцентом на мясо. Попробовали:Асадо на компанию с шоу подачей,стейк рибай с черным маслом и томленное ребро по-костанайски,было очень вкусно,советую",positive
108,Очень вкусная кухня и сервис 👍🏻👍🏻👍🏻,positive
109,лучшее заведение,positive
110,"Все было безупречно))) официант русская девушка, имя забыл к сожалению, вы супеееер👍",positive
111,Норм. Вкусно. Спасибо,positive
112,"Очень понравилось ❤️ Сервис, атмосфера, кухня! Всё что заказали очень вкусно было! Благодарим Дмитрия за вечер! Обязательно придём, ещё не раз 🫶🏼",positive
113,"Были в заведении сегодня, 16.11.2024. Я осталась в восторге. Тут хорошо всё, начиная с сервиса: очень вежливые официанты и прекрасная девушка хостесс, которая помогла нам развесить нашу верхнюю одежду. Имя официанта к сожалению забыла, и зря, отметила бы его также лично, он профессионал.Еда очень вкусная, большие порции, в заведении играет приятная мелодия, не мешающая разговорам, ненавязчивая. Понравилось от салата до стейка. В будущем обязательно набирайте такой же персонал с характеристиками гостеприимности и доброжелательности. Вышла оттуда с хорошим настроением 🙏🏻",positive
114,действительно для ценителей самое то,positive
115,"Прекрасное обслуживание и замечательное качество мяса. Никогда не сталкивался с проблемами, только положительные впечатления!",positive
116,"Мясные продукты здесь просто превосходные. Всегда свежие, качественные и по хорошей цене.",positive
117,Хорошее место,positive
118,"Все понравилось, буду приходить!",positive
119,"Не покупайте подарочные сертификаты этого заведения, если не хотите разочарований. Их продают, но когда наступает момент их использовать начинают выкатывать всякие сюрпризы. Начинаешь делать заказ, говорят этого блюда нет. Предзаказ тоже не принимают",negative
120,очень вкусно,positive
121,Все очень вкусно и сочно девушка на ресепшене очень вежливая и красивая 10/10,positive
122,"Посетила ресторан Мясоед , все было отлично, заказывали разные блюда на пробу, шашлыки , миньоны, рыбу, - все было свежим и вкусным, подача сетов друг за другом без лишнего ожидания, обслуживание отличное- спасибо Официанту Дмитрию, атмосфера заведения располагает к приятной атмосфере.",positive
123,Мощно вкусно дерзко,positive
124,"Лучший стейк, томагавк для всех любителей вкусно поесть мясо и в общем, кухня хорошая",positive
125,"Ребят, место просто шикарное! Мы с мужем в восторге от стейков 🔥 Обслуживание на высшем уровне, Дмитрий гарсон от Бога 👌🏻👌🏻",positive
126,Спасибо большое лучший кофе в этом районе очень насыщенный вкус!,positive
127,Очень вкусно 😋,positive
128,"Крутое место, ребята чудо, встречала Даниэла, очень приветливая девушка, Дима официант, помог с выбором блюд.Вам привет от Наталии из Краснодара!",positive
129,"Посетил недавно ресторан мясоед, и впечатления остались неоднозначные. Обслуживание было шикарным: несмотря на то, что при входе нам сказали, что все столики заняты, нас всё-таки усадили в кофейню напротив и обслужили, что, безусловно, большой плюс. Заказали стейк, который был просто шедевром – идеально прожаренный, с насыщенным вкусом соуса барбекю и черным маслом. Каждый кусочек – наслаждение! А вот рёбрышки немного разочаровали: за 8 тысяч тенге ожидалось больше, порция оказалась маловата. Оценил бы их на 3 из 5. Также попробовали рамен, который выглядел настолько аппетитно, что грех было не сделать фото и не выставить в инстаграм. Тёплый салат с телятиной был вкусным, но пересоленным, что немного испортило впечатление. Чай был вкусным, тархунский. В целом, ресторан заслуживает внимания, но есть небольшие недочёты",neutral
130,"Дмитрий лучший,кухня вкусная 🔥",positive
131,"Мясо вкусное очень, готовят замечательно.",positive
132,"Доброго времени суток. Были в этом заведении, интерьер, атмосфера и обслуживание было шикарно. Особенности Дима. Еда отменная, мясо просто во рту тает.👍👍👍",positive
133,"Все вкусно рахмет официанту Дима шикарное обслуживание, шеф повару респект, осадо от шеф повара изюмительный тает во рту.",positive
134,Очень вкусная кухня. Приветливый и вежливый персонал. Благодарим за прекрасный вечер!🫶🏻,positive
135,Все окПоесть самое то,positive
136,"Безумно захотелось бургер , через 2Гис нашли мясоед решили заехать к ним .Очень хотелось вкусный сочный бургер.Заказали бургер с мясом на ребре , хотя в меню написано было рванное мясо , даже официант был удивлен.Ожидали томленное нежное мясо которое будет таять во рту .Реальность: соленное сухая говядина которую нужно было долго жевать(((Разочаровались очень сильно…",negative
137,"Дизайн заведения понравился, оформлено уютно. Ассорти шашлыков были сырыми",negative
138,"Сидел у вас не давно.Хотел бы сказать спасибо за хорошее обслуживание официантам Александру и Дмитрию. Сервис очень хороший , кухня вкусная. И отдельное спасибо бармену Кариму за совет посетить этот ресторан🫶🫶🫶",positive
139,"Очень хорошее место, рекомендую. Цены доступные, мясо вкусное, еще и комплименты от поваров 👍🏻 застали еще живую музыку, было классно",positive
140,Можно номер девушки которая подовала меню понравилась,neutral
141,"Очень вкусная кухня, самые вкусные стейки 🥩",positive
142,"По мясу вопросов нет. Проверку попали, ну почти . Но это уже дело вкуса. Технически попали. Нас обслуживание официант Акимов Дмитрий. Приятно, что человек умеет решать возникающие проблемы.В целом, приятное заведение.",neutral
143,"Если за мясом, то точно в это заведение! Огромные стейки по невероятным для гостей из России ценам. Прожарка - правильная, качество мяса - отличное.На все меню до 16-00 скидка 30%.Сервис - на высоте. Отдельная благодарность Дмитрию Азимову.",positive
144,"Зашел пообедать. Бизнес-ланча нет, ну ладно , не беда . Принесли меню . За 10 минут никто из 4-х любезно шутящих между собой официантов не подошел. Встал, ушел",negative
145,"Пришли по рекомендации знакомых, Пробовали ребро и стейки, очень вкусно, чай бомбовый, персонал внимательный,процветания вам👍",positive
146,Невероятно атмосферное место с безумно вкусным мясом. Искренне советую попробовать томленный брискет с бейби картофелем и баранью рульку с перечным соусом. Безумно вкусно 🔥,positive
147,"Отличное открытие! Еда вкусная, обслуживание от Адиля невероятно крутое. Удачи в дальнейшем!",positive