Comment,Sentiment
"Бардык, тамактары оте дамди. Кызмет корсету сапасы оте жогары. Аспазшыларда, даяшыларда оте жаксы. Кафенин иши де ерекше атмосфера. Балаларга да тамактарыныз унады. Енди жиы барып турамыз!",positive
"Баратын жер емес. Дым қызмет жоқ,1 сағат күтесің еще шатасып кетеді. Масқара,еще ақша төлетеді,ұят жоқ",negative
"Люблю окадзаки с тех пор как только появились, Но испортились жестко.. суши стали меньше, цены стали выше, а дубайский шоколад какой был отменный, прям паста и начинка, а сейчас видно паста какая-то дешевая..😭 верните прежний вкус🙏🏻🙏🏻🙏🏻 раннее был вкуснее шоколад, и суши были больше🥺 не теряйте клиентов🫶🏻",negative
"Очень вкусно, все понравилось. Спасибо официанту Нуржігіту за отличное обслуживание!!!",positive
"В принципе нормально, пойдет",positive
Очень вкусно 🙂‍↔️,positive
Жаксы тамактары унады,positive
"Сегодня были с семьей и детьми, очень уютный ресторан. Все чисто красиво, вкусно. Отдельно хочу отметить заботливость администратора Аиды👍🏻",positive
"Вечер добрый, сегодня были семьёй всё понравилось , хотелось бы по благодарить официантов на втором этаже двух парней, имя забыла 😛",positive
"Кухня вкусная все понравилось ,спасибо !👍👍👍",positive
"Қызмет көрсету жоғарғы деңгейде, рахмет Жеңіс!",positive
Суши башня из худших отвратительных 😂,negative
"Кухня вкусная, обслуживание 👍🏻",positive
Очень вкусно и приятная атмосфера🫶🏽,positive
"Нұржігіт красавчик 😻 Кушти обслужка жасап , бизди шыгарып салды",positive
"Филиал на Розыбакиева очень уютный и кухня отличная. Блюда свежие. Обслуживал официант Нуржигит, очень чуткий парень",positive
"Все было вкусно, отдельное спасибо Ердену☺️",positive
"Заказали суши с собой , потом сказали можем посидеть покушать они отказали нам посидеть у них в заведении ! Мы говорим давайте разницу оплатим они говорят надо другой чек открыть за столик🙄 непонятные правила ! У вас в заведении нет ЛЮДЕЙ ВООБЩЕ столики свободны ! Ну зачем вы портите клиентам настроение? Ужас просто",negative
"Вежливые официанты, вкусная еда. Есть намазхана)",positive
Намазханасы жақсы,positive
Обслужка👍🏻👍🏻 официант Ерден,positive
"Все понравилось, спасибо! Обслужка классная, все было уютно и красиво, официантом был Ерден👍🏼",positive
"12.02 были тут. Нас обслуживал официант Ерден, очень хорошо обслужил нам все понравилось, можно смело выдавать премию👍🏻",positive
"Вкусная еда,приятная атмосфера
Ходим постоянно с коллегами после работы
спасибо официанту Ерден😘☺️",positive
"Самое лучшее заведение из моих топ 10.Вкусно,чисто,персонал самый лучший и очень выгодные цены🤌🏻😚",positive
"Все очень вкусно,спасибо официанту Аяулым за обслуживание!Очень приятная девушка.",positive
"В суши была ворсинка, сами суши маленькие и неаппетитные",negative
Вкустно,positive
Были с женой на втором этаже холодно(( мы и другие жаловались на это но ничего так и не изменилось. У них окна на автоматике и они открываются( было вкусно взяли сет. Колла дорогая 1300 тенге. На вынос дешевле и колла ещё в подарок.,negative
Спасибо Ердену за обслуживание 🙌🏻,positive
"Пообедала в вашем заведении, все очень вкусно, красиво и чисто. Обслуживал официант Ерден , приветливый и шустрый. Спасибо , побольше бы таких заведений) довольна в общем🫶",positive
Okadzaki мейрамханасы оте керемет 👍👍тамактары дамди обслуживание оте жаксы жане жылдам 👍Талшын официантка оте жогары денгейде кызмет корсетти 🫰рахмеет,positive
"Мейрамхана өте дәмді әрі жайлы. Қызмет көрсету жоғары деңгейде, Нұрдияр деген официант өте жақсы обслужка жасады және көмектесуге дайын болды.",positive
"Нұржігіт өте жылы шырайлы, қызмет көрсету сапасы керемет болды. Тамақтар жылдам әрі дәмді жеткізілді. Жалпы, атмосферасы өте жайлы әрі көңіл-күй көтеретіндей болды. Барлық өтініштерімізді көңіл бөле орындап, бізді құрметпен қабылдады. Рахмет!",positive
"Өте керемет жер, тамағы дәмді, қызмет көрсетуі жақсы, официант Нұржігіт деген бала жақсы қызмет көрсетті, іші өте керемет жер екен барлығы қатты ұнады👍👍",positive
"“Okadzaki на Розыбакиева 336 – это не просто ресторан, это портал в гастрономический дзен!

Зашел поесть – вышел просветленным. Каждое блюдо будто создано шефом, прошедшим секретное обучение у самураев вкуса. Суши – идеальны, роллы – как искусство, атмосфера – словно ты в сердце Токио, но без визы.

Но главная звезда вечера – официант Нуржигит. Этот человек не просто приносит еду, он делает это с таким уважением и грацией, что я чуть не поклонился ему в ответ. Внимательность, скорость, улыбка – уровень «Премиум+».

Если ты еще не был в Okadzaki – считай, что жил зря. Исправляй ошибку!”",positive
"Это конечно было треш... Вечер был испорчен, спасибо... Кому не понятно, там прилипший ВОЛОС..",negative
"постоянно заказываем сеты очень вкусные
👍🏻",positive
Отличный сервис и еда! Очень уютно,positive
"Делала заказ через Wolt, все несвежее, есть не возможно, в пицце пепперони со странным привкусом также как и в Филадельфий рыба , я делала заказ не для того чтобы выкинуть в мусор. Заказываю не впервые, но такой отвратительный заказ и качество в первый раз! Больше не будем заказывать и вам не советую, попробовали и не стали есть, так как отравление было бы 💯 заказ был поврежден, но это уже вина курьера. Единственные теплые роллы были нормальными на вкус 🤷‍♀️",negative
Супер вкусно,positive
"Бардым өте керемет Суши да пиццасыда керемет сабой суши алгам 3 түрлі соусында салып жберді советую баруга, лиманадтарыда соз жок Рахмет просто вау",positive
"Очень понравилось, всё вкусно, вежливый персонал ,красиво и уютно,постараемся чаще приходить к вам",positive
"Хочу выразить большую благодарность официанту Ердену.
Обслуживание было на высшем классе.
Насчет кафе,очень комфортное место для отдыха и для того чтобы вкусно поесть.",positive
"Шикарное качество, упаковка и доставка отлично лишь бы не сглазить)
Советую!!!",positive
"Заведение очень милое!вкусная еда,хорошее обслуживание -Талшын отдельное спасибо))",positive
Завтраки не вкусные и холодные! Официанты медленные и забывают заказ!Больше не придем😠 чек прикрепила,negative
Официант Бексултан отличный парень,positive
"Очень все понравилось!Очень вкусно!Обслуживал Бексултан,молодец,супер!Все на высшем уровне👍",positive
"Был здесь впервые, но точно вернусь. Атмосфера уютная. Еда вкусная, подача красивая.

Отдельное спасибо официанту Бексултан который был очень вежлив, быстро принимал заказ и помог с выбором. Видно, что человек работает с душой.

Цены адекватные, обслуживание на высоте. Рекомендую!",positive
"Посетил заведение и остался под приятным впечатлением! Атмосфера на втором этаже особенно уютная: тихо, комфортно, можно спокойно насладиться вечером. Обслуживание на высшем уровне — официанты внимательные, вежливые и хорошо знают свою работу.

Отдельное спасибо официанту Ердену! Очень профессиональный, дружелюбный и отзывчивый. Он не только быстро принял заказ, но и помог с выбором блюд, подробно рассказав о каждом. Видно, что человек действительно разбирается в своем деле.

Обязательно вернусь сюда снова!",positive
"Хорошее заведение с приятной атмосферой и достойным сервисом. Обслуживание вежливое и ненавязчивое, все подают быстро.

Отдельное спасибо официанту Ердену — толковый парень, знает свою работу и всегда готов помочь с выбором.

В целом, место оставило приятное впечатление, думаю, загляну еще раз.",positive
"Уютное место, обслуживание хорошее.

Спасибо официанту Ердену — внимательный и профессиональный👍🏻",positive
"Это заведение — настоящее открытие! Атмосфера располагает к отдыху, обслуживание на высшем уровне, а кухня — просто восхитительная. Здесь чувствуешь себя желанным гостем с первой минуты.

Особая благодарность официанту Ердену! Этот человек не просто приносит заказы, а создает настроение вечера. Внимательный, профессиональный, с отличным знанием меню и искренним желанием сделать визит гостей максимально комфортным.

Сюда хочется возвращаться снова и снова",positive
"Прекрасное заведение с уютной атмосферой и высоким уровнем сервиса! Здесь комфортно, приятно находиться и можно по-настоящему расслабиться.

Обслуживание на высшем уровне! Официанты вежливые, внимательные и быстро реагируют на просьбы гостей. Отдельная благодарность официанту Ердену — настоящий профессионал! Грамотно консультирует по меню, учитывает пожелания гостей и оставляет только положительные впечатления.

Обязательно вернусь сюда снова и буду рекомендовать друзьям!",positive
"На удивление, заведение действительно высокого уровня, особенно на втором этаже! Атмосфера здесь тихая и уютная, а официанты — вежливые, внимательные и профессиональные.

Отдельная благодарность официанту Ердену — видно, что парень толковый и отлично знает свою работу!",positive
"Бәрі ұнады , Нұржігіт деген жігітке рахмет !",positive
Спасибо Аяулым за приятное обслуживание 😇 и здесь очень вкусные блюда😋!,positive
добрый день читатели очень приятное место но своих цен я думаю не стоит можно и в другом месте по кушать так как взяли Том Ям там кроме креветок особо ничего нет не стоит суши да большие но холодные так себе один раз можно попробовать,negative
Рақмет дәмді аспен әрі кішіпейіл қызметкерлерімен қуантты!🤗,positive
"Был тут с девушкой очень понравилось,Администратор Рахат подсказал помог с меню и выбором, обслуживание и сервис на высшем уровне 👍🏻🫶🏻",positive
"Пришли позавтракать с семьей, но в итоге остались голодные.
1. Заказ ждали около часа.
2. Завтраки были холодные, а в одном из блюд недоложили ингредиенты.
3. Официанты медленные и даже не могут отличить латте от капучино.

Повелись на накрученные отзывы и наличие игровой площадки для детей.

Зашли в заведение с хорошим настроением, сразу отметили красивый интерьер и игровую зону, от которой дети были в восторге. Но, к сожалению, обслуживание и качество еды испортили все впечатление.

Поели только потому, что были голодны, а одно из блюд даже пришлось вернуть!

Сумма такая маленькая, так как пришлось еще просит администратора убрать счет за одно блюдо и за обслуживание, которого и не было по сути!

Не рекомендую это место, если хотите вкусно покушать!",negative
"Пришли позавтракать семьей, увидев детскую зону, думали будем часто посещать данное заведение, НО….
Завтраки мы ждали около часа, готовы были промолчать, но еда была ХОЛОДНОЙ, в одном завтраке яичницу не дожарили, еще и не доложили часть ингредиентов, что было указано в меню, по итогу мы вернули его обратно.
Девушка официант принесла кофе, спросив ее капучино это или латте, она не смогла дать ответ и ушла

Откуда у заведения оценка 4,5?!

Чек и фото во вложении",positive
"Отвратительное обслуживание и кухня! Настроение испорчено на весь день!

Час ждали завтрак, по итогу получили холодное блюдо. Более того еда по факту отличается от того что указано в меню. Не доложили еду в блюдо.

Официанты не могут отличить капучино и латте.
Один кофе ждали ждали и не дождались по итогу.

Пришли из-за игровой зоны - это единственное что порадовало.
Положительные отзывы накручены ботом видимо.

Была бы отрицательная звезда поставил бы

Заведение посещали 26.01.2025.
Прилагаю чек
Номер чека: QR9309921952",negative
"Приветствую была в этом заведении и т.к посещаю всегда только в других точках,было приятно посидеть здесь очень вкусный том ям и роллы,а отдельную благодарность хотела бы проявить обслуживанию и человеку Бексултану,быстро,четко и главное с пониманием❤️",positive
"Атмосфера,приветствие обьяснения от а до я от работника Бексултан!,приходил в суботу к вечеру с девушкой он подобрал для нас блюдо и обслужил быстро и четко,благодарен ему за оперативную отзывчивость через кнопку и терпение из за того что мы не могли выбрать блюдо😓😓",positive
"Вкусно, быстро! Отличная локация, вкусная еда, быстрое обслуживание, круглосуточно! Отдельное спасибо Нуржигиту, быстро и вежливо обслужил, посоветовал вкусный десерт👍🏽",positive
"Заказала сырный рамен, аляска зап с курицей очень вкусно 🤤 повтору респект 👍
И официантка Талшын спасибо вам огромное, очень классно посидели 🥰",positive
"Мы своей дружной компанией отмечали день рождения!!! Остались очень довольны обслуживанием официантки Талшын,которая была внимательной, доброй, отзывчивой на все наши капризы!!! Пожалуйста, дайте ей премию =) Спасибо!!!",positive
"Официантка Талшын обслужила, спасибо большое, довольные, сытые, вкусная еда и десерты 🍮 всегда Посещаем это кафе",positive
"Тамақ және десерт заказ бердік, бәрі ұнады. Талшын офицантқа рахмет!!!",positive
"Очень вкусная еда и хорошее обслуживание!
Официантке Аяулым больше спасибо❤️",positive
Все вкусно и быстро ❤️ официант Пир вообще умничка 👍,positive
"Очень вкусно, Аяулым и Надирам очень вежливо обслужили",positive
"Были с друзьями,нас было 10 человек. Всем понравилось,обслуживание хорошое,а главное вкусно. Отдельная благодарность Ердену🙌🏻",positive
"Было очень вкусно~~ очень вежливый персонал! В частности, хотелось отметить официанта Ердена! Спасибо ~^^",positive
"очень дружелюбный персонал, атмосфера в заведении приятная, быстрая подача и все оказалось очень вкусным!",positive
"Добрый вечер! Жандос очень приятный официант! Все вовремя приносит, на все просьбы реагирует оперативно, обслуживает обалденно! 👍",positive
Обслуживал Жандас молодец.,positive
Обслужил официант жандос молодец вообще хороший парень 🙏🏻,positive
"Вчера побывал в Окадзаки ,очень вкусно! Обслуживал нас официант Жандос , спасибо !",positive
"Пришли небольшой группой, шикарно посидели, спасибо персоналу за качественное обслуживание",positive
"Ішінде орын көп. Аестик. Қызмет сапасы өте жоғары. Тамақтары ұнады. Раменч роллы, пицца бәрі уақытымен келді, дәмі супер 👍",positive
"хорошее место для проведения с семьей,особенно спасибо официанту Жандосу обслуживание👍",positive
"Хочу сказать что кухня очень вкусная. А обслуживание на все 10/10, нас обслуживал офик Жандос. Молодец🤗",positive
"сегодня кушал на окадзаки , очень вкусно , обслужил Арсен",positive
"Постоянные клиенты этого заведения, очень вкусно. Особенно рамень и суши. Сегодня нас обслуживал официант Димаш, молодец👍🏻",positive
Жансая обслуживает хорошо!!!,positive
Всегда вкусно🥰😍,positive
"Обслуживание приятное, официанты вежливые, еду подали быстро, что радует. Интерьер уютный, атмосфера располагающая.",positive
Очень вкусная пицца боланьеза и сеть суши чикаго 😋 огромное благодарность Айгерим за качественное обслуживание ❤️🫶 очень уютно и красивое оформление заведение 😍,positive
Кухня на высоте! А официант Аяулым вообще умница! сервис 👍🏽 еще раз спасибо Аяулым!,positive
"Впечатления остались приятными. Обслуживание на хорошем уровне. Интерьер уютный, располагает к приятному времяпрепровождению. И радует круглосуточная работа)",positive
Супер место . Спасибо за сервис . Хорошая атмосфера . большой плюс работает круглосуточно 🙂,positive
"Заказала через вольт доставку , гункан приехал весь разваленный, без шапочки сверху. Филадельфия была бледная, в поддержку писала, что рыба не свежая. Но она ВОНЯЛА тухлой рыбой. По одной попробовали и в итоге я отравилась и только сегодня пришла в себя. Ужасное отношение к гостям, ладно лекарство хотя бы за тухлую рыбу вернули бы деньги, за гункан часть вернули , а остальное нет. Никому не посоветую ваше заведение…",negative
"Доставка 2000 тенге хотя на сайте указано 1000, не положили обещанную пиццу по промокоду, суши вкусные",positive
"Праздновали в окадзаки детский день рождения. Здесь вкусная кухня, красивый интерьер и приятная атмосфера! Удобно, что в зале есть большая игровая зона для детей. Очень приятная администратор и хорошее обслуживание👍",positive
Тағамдары маған ұнады дәмді әрі қол жетімді келгеніме өкінбедім,positive
"Тамақтары дәмді,кеше барып тамақ ішіп қайттым, маған қатты ұнады🤩👍",positive
Тамақтары дәмді зор суши үнады маған 😍💓❤️‍🔥,positive