Review,Sentiment
Парковки нет,negative
"Карак чай не похож ни на дубайский ни на оманский, паль в общем, кислая какая-то. Чай магриби мне рекомендовали как чай с 5 ю видами мяты, в итоге продали чай с мятным сиропом(( Если не умеете готовить чай, то лучше уж просто черный и зелёный подавать. СКАМ на мусульманских традициях",negative
"Очень люблю карак чай, но когда его быстро-быстро готовят, вкус другой 🫠",positive
"Горячие напитки у вас отличные, очень нравятся!
 
 А вот с айс-напитками есть небольшая проблема: кажется, что в стакане слишком много льда и совсем мало напитка.",positive
"Любителям чая и вкусных закусок посвящается! Сейчас их чапати стали еще вкуснее, I DONT KNOW WHY, But it is, мне больше по дцше чай Сулеймани и вам рекомендую",positive
👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼,positive
"Самый вкусный карак в городе , потому что без сахара !🫶🏻 отдельное уважение управляющему данной точки . Всегда слышит обратную связь , это очень важно . Джазакаллаху Хайран .",positive
"Мой самый любимый напиток, учитывая, что я не пью ни чай, ни кофе наши местные.
 Очень удобно после прогулки рано утром, бодрит, запах уносит в далекие уголки Аравии.
 Спасибо, что вы стали работать с 8,то прям в сердечко, со школой перенесла прогулку на утро, возвращаясь, можно порадовать себя ❤️",positive
"Самый вкусный чай и ребята, которые наливают тоже хорошие 🙏🏼🙏🏼🙏🏼",positive
"Хамское отношение, в эмиратах на головы 2 выше и раз в 8 дешевле. В добавок на вкус Липтон с лимоном и сгущёнкой",negative
Очень вкусный необычный чай,positive
One love!!!,positive
Симпатичное местечко,positive
Отличное место. Посидели классно. Атмосферно,positive
"Локация чуть не удобная. Можно сказать обычное место, на раз стоит попробовать. Цены чуть дорогие, выбор большой. По мне, специфический чай со специями!",neutral
"Концепция крутая, вкусно. Единственное, сервис грубый, все впечатление испортил",negative
"Вкусненько, атмосферненько. Флэшбэчит сразу в Эмираты или Саудию (кто был и жил, тот поймет). Персонал общительный, доброжелательный. Всё ништяк, цены немного выше среднего. Рекомендую!",positive
"Кухня норм, но сервис 0, по этому одна звезда. В целом ожидаешь большего за такие цены",negative
"кассиры Абдухаким Абдурахим и Ильхам бомбовые сотрудники, очень благодарен таким людям, готовят самый вкусный карак💋💋💋",positive
"Карак чай - это искусство. Вкусный чаи, советую.",positive
"Понравилась атмосфера, сидеть на ковриках приятно, можно вытянуть ноги сняв обувь 🤩🤩🤩 атмосфера располагает к расслаблению. Разнообразие чая, который можно заказать, не спеша оценив вкус, разбавит ваше настроение добавив нотки спокойствия.",positive
Самая вкусная вкусняшка) карак чай это любовь 💕,positive
"Кофе отличный (проверили и экспрессо, и бамбл 🧡), атмосфера очень уютная, классно посидели на коврах всей семьей",positive
Вкусный чай,positive
Одно из самых атмосферных и приятных мест города❤️ ❤️ Пить любимый кофе и читать книжку на траве у речки🩶 что может быть лучше😌,positive
Самый лучший чай который я пил. Спасибо большое. Буду клиентом. Можете поставить лавочки. Не где сесть если без машины. А так к чаю нет претензий.,positive
"was walking by and got karak tea, they have amazing service, amazing chapatis and overall a great location after a good stroll around terrenkur",positive
"Часто проходила мимо и решила попробовать караке чай, очень понравилось! рекомендую",positive
"Прекрасное заведение чаи и кофе шикарные , обязательно советую попробовать 😊",positive
Горячии шоколад был теплый и не так уж вкусный . Ждал более 15 минут,negative
"карак чай это любовь, очень вкусный и насыщенный. хочется чтобы открылись где нибудь в центре города, чтобы можно было посидеть внутри",positive
Вкусно что то необычное но те у кого проблемы с жкт не стоит пить! Так как очень крепкий напиток! По своему хорошая атмосфера 😍,positive
Подсел на Карак ❤,positive
Вкусные напитки и чапати. К сожалению долго ждать заказ.,neutral
Это реально кайф🥺,positive
"Очень вкусные чаи)
 Побольше бы ковриков",positive
Отличный чай хорошее место в теплую погоду приятно проводить время,positive
"Ваши чаи это реальность которую я не ожидала😭 в Дубай их готовят вообще по другому, меньше специи пожалуйста",positive
Самое уютное и теплое заведение🔥❤️,positive
"Оооочень медленный сотрудник (парень) который делал элементарный горячий шоколад. На деле просто какао или шоколад порошок. Но, никак не горячий густой шоколад.
 3 звезды только за то, что было нормально по вкусу и по цене.",negative
"Чай бомба. Не знаю как они его делают, сиропы какие или что, но смело ставлю 5/5
 Над почаще туда ходить",positive
"Очень уютное кафе, чудеснейшая чапати с семгой, теплый чай магриби согревают и поднимают настроение в осенние вечера. Персонал приятный и вежливый, обслуживают быстро 👍",positive
"Очень приятное заведение, добрые ребята, вкусная еда. Советую попробовать чапати с курицей! 👍👍👍👍",positive
"Ужасное заведение, отвратительное, грубят, не умеют разговаривать!!!",negative
"Чай прекрасные, но цены обновите на вывеске, а то на 100, 200 тенге дороже получается. И возникает мысль о мошенничестве",neutral
"Лучше, чем в Дейре!",positive
"Отличный Карак! После полугода жизни в Дубае, был приятно удивлен вкусом. Отличный повод свернуть с терренкура и сделать тут перерыв",positive
"Уютное место, приятный сервис",positive
"Пригласил сюда свою рагулю на чай, очень хорошо.",positive
"Не понятно, почему так мало лимонада в стакане, как говорится «на донышке». Чай на любителя. Единственно коврики хорошая идея.",neutral
"Вкус чая не стабильный и честно говоря на любителя. С лимонада я вообще в шоке, 1/3 сам напиток остальное взбитый лед и то как воздух не рекомендую.",negative
Лучшее кафе на Терренкуре.,positive
"Качество чая , зависит как сойдутся звезды , p.s шафрана в нем нету , есть ощущение что заварка самая обычная :)",neutral
"Часто пью чай Карак , но последние 2 раза был не такой как прежде, надеюсь исправите это 🤗",neutral
"Отличное место, чтоб делать паузу при прогулке. Взять вкусный прохладный напиток в летний жаркий день, насладиться шумом речки, прекрасной атмосферой сидя на ковре и просто отдохнуть.",positive
"Фирменный карак чай тут почти такой же как на Жукова, но десертов ассортимент больше и вкуснее, особенно чизкейки и макарунс, летка и сидячих мест больше это тоже хорошо. Но есть одно НО! Ни разу за все время не мог дозвониться по телефону ни сюда, ни на Жукова, особенно когда хочу забрать с собой или заранее десертов много взять.",neutral
Очень понравился чапати с индийским дал-ом!!! И невероятно вкусные чаи!!👍🏻,positive
"Все нереально вкусно и необычно, если хотите что-то оригинальное, атмосферно и со вкусом, вам к этим парням, начиная с приветствия и обслуживания, заканчивая вкусом самого чая т чапати все просто шикарно, десерты также очень вкусные, особенно Моти и эклеры
 
 А задумка с ковриками так вообще 🔥",positive
"Сервис такой себе, приняли заказ, ничего не сказали, чек не дали, когда забирал заказ парень отдал его с наездом, мол надо лучше слышать когда они кричат чей то заказ;
 
 Лепешки не плохие, но получились пережаренные, своей цены явно не стоят;
 
 Чай хороший, не приторный, освежает;
 
 В общем можно просто попробовать но я больше сюда не вернусь;",negative
Топ 👍👍👍 чай в жару самое то,positive
"Если чай, то только сюда!",positive
"КАРАК чай
 
 не СКУЧАЙ
 
 ☕️ 💪🏽 🔥 💣 👍",positive
"чай ☕️ очень хорош, персонал бы еще подкачать: до сих пор не понял, что за индийский чай с пакистана, хотя надписи на арабском которые гласят что ЧАЙ с ЭМИРАТОВ, да и вообще чай в Катаре и ОАЭ этот мощно раскачался, но и тут по вкусу он хорош, даже лучше чем там. Десерты 🧁 необычно вкусные. Летняя площадочка хороша тут 10 из 5: как в пустыне Дубая, только на траве.",positive
"Очень вкусно, спасибо",positive
"Пока нареканий нет, чай и вправду понравился. Больше бы ковров и больше разнообразия из еды",positive
В целом приятное место!) ❤️Очень вкусно! БлагоДарю 🌸🙏💖 желаю процветания и изобилия вкусов 💚,positive
"Карак, магриби - очень вкусные чаи, выпечка тоже вкусная 👍🏼",positive
"Куштиии, шайлары оте керемет. Еш жерде ондай дамди ишип кормеппин. Летникта килемге отыырыып ишесиздер шайды 😃 финиктен жасалган десерттер кушти унады",positive
Уютная и приятная атмосфера в центре города. А летка вообще как на курорте в каком-нибудь Rixos-e,positive
"Сервис классный
 Все хорошо объяснили
 
 Чай и лепешка с курицей мне не понравилась. Чай Карак ооооочень сладкий, а лепешка оооочень соленая. И размер маленький у лепёшки. Не наешься.
 
 Но сервис хороший) надеюсь добавят дополнительные позиции в меню. Удачи бизнесу. 4 звёзды чисто за обслуживание :)",positive
"Самый вкусный чай, который я пила в своей жизни ❤️",positive
Отличное заведение для мусульман,positive
Самый вкусный карак в городе,positive
ильхам и муська хорошие баристы вместе слаженно работают ✊🏼💯💯💯,positive
Бариста Санжар делает очень вкусный кофе! Не зря ехал для этого пол города,positive
"Ассалаумағалейкум жамағат ,шайдың дәмі өте керемет Әлімжан деген жігіттің саусағынан бал тамған екен",positive
бариста Алимжан красавчик чай оте керемет кызмет корсету сапасы оте жаксы,positive
"Удивительный чай, кофе , неповторимая курица карри в индийской лепешке чапати !!!
 Ненавязчивый , внимательный сервис.",positive
Самый бомбовый чай,positive
Лучший карак чай в городе,positive
Өте дәмді шәй,positive
"Жукова 136Б , ХАПЕН лучший, сервис 🔥🔥🔥",positive
Karak chai супер! Рекомендую,positive
"Ассаляму Алейкум
 Братья поменяйте пожалуйста стаканчики",neutral
"Обожаю эту локацию, эту их точку. Чай любимый🥰",positive
Karak top 🔝,positive
"Поменяйте стаканы по Братский , уже надоело , все пачкается и обжигает",negative
Карак бомба честно говоря,positive
"Сегодня был тут спустя столько времени, да тут вкуснее. Телефон берите, полагаю только по срочным поводам звонят",neutral
"Интересно, вот тут чай Карак из Дубая вкуснее, чем в других местах. Десерты тоже для ценителей. Летняя площадка бы еще",positive
Самый лучший чай карак🤍,positive
"Отличный чай, отличное место.",positive
"Классное атмосферное место и вкусный чай. Единственные, кто в Алматы делают настоящие арабские чаи, мне очень понравилось)",positive
Кто любит зеленый чай попробуйте Магриби. Огооонь чай. Таак освежает. Я в восторге,positive
"Вкусный чай, уютное место!",positive
"Суперские чаи и классное обслуживание!
 Берекелі болсын бизнес!",positive
"Хороший качественный чай и сервис на уровне, советую всем!",positive
Приятная атмосфера… Интересный и терпкий вкус чая! Матча фраппе лучшая в городе! Обязательно загляну ещё раз!,positive
Карак чай прямо как в Дубай и вкус такой же! Однозначно лучше кофе ну и что-то новое в городе 👍🏻,positive
Панкейки не вкусные нам не понравилась 🥲,negative
"Проводили здесь каждый свой вечер. Одно из
 лучших мест в Караганде. Спасибо персоналу который всегда вежлив и поможет с выбором. Как найдем время еще раз заглянем за вкусными панкейками и смузи❤️",positive
"Впервые пробовали у вас всего 2 недели назад — панкейки были очень воздушные, как пух. Сегодня же, к сожалению, они сильно ощущались по вкусу яйца и были более плотными. Не понравились, увы🥲",negative
"руки целую всех поваров всех персоналов,очень приятное заведение и не только заведение,ну и кофе и панкейки и всё вкусности,однозначно 5 звезд",positive
"Не понравилось, обслуживание никакое. Больше не приду 🤦🏻‍♀️",negative
"Отличная кофейня, с хорошим выбором теплых напитков, помимо кофе, а также есть выбор десертов.",positive
Очень интересное место. Есть кофе и чаи. Можно перекусить или взять десерты,positive
От японских панкейков там только название 💔,negative
"официант Сая топ топ топ, очень приятная, вежливая девушка 😍❤️",positive
Сая очень приятная девушка😍😍классная обслуживание😍👍 панкейки вкусные и сытные 🤤❤️,positive
"очень классный сервис мне понравилось, очень вкусные чаи особенно обслуживание, рекомендую !!!",positive
Очень уютное заведение🫶🏻Все вкусно и все очень понравилось💖,positive
"Уютное место с приятной атмосферой! Особенно понравилась обстановка — идеально подходит как для спокойного отдыха, так и для работы.",positive
Все вкусно советую вам ❤️,positive
"Все вкусно, уютно, вежливо, мне очень понравилось
 Советую!!",positive
Все понравилось 👍,positive
Уютное заведение. Доброжелательные сотрудники. Приемлимые цены. Вкусная еда. Отличное комбо 😌👌🏼,positive
"Классное заведение😍Панкейки бомбически вкусные. Лучшие панкейки, которые я когда-либо пробовала. Советую всем заглянуть сюда",positive
Всё очень вкусно Батон спасибо ☺️❤️,positive
Batoooonn🥰😍😍❤️,positive
"Сегодня посещала ваше заведение, понравилось девушка на кассе. Батон вы очень красивая и позитивная 🙃❤️",positive
"Очень классное место
 Советую👍
 Спасибо Батон за прекрасное обслуживание❤️",positive
Отличное место 👍,positive
"Очень вкусные панкейки и латте, спасибо Мадине за обслуживание 😍",positive
Обслуживание 0. Кофе холодные панкейки не фкусное. Долго ждать заказ. Сотрудники не на месте. Еще заказ перепутали. Персонал на низком уровне,negative
Все классно прям😊😊💙,positive
Очень классная заведение 😍😍,positive
Отличное заведение 👍🏻🔥,positive
Жақсы кафе іші бәрі әдемі сол жерде істейтін адамдарынды өзі адаммен тіл табыса біледі және жұмыстарына тианақты.Жақсы жер екен😍😍😍😍😍😍🔥🔥🔥,positive
"Очень классное заведенье , вкусная еда , приятные роботники , приходите всем советую 😍😍😍 вообше класс вау 😍😍приходите не пожалеете",positive
"Очень вкусная еда,атмосферная заведение ,очень уютно всем советую прийти и наслаждаться этим чудесным видом 😍",positive
"Самые лучшие кофе и официанты добрые,приветствую,хорошие",positive
"Заходила вчера, уютное заведение😍 парень бариста очень вкусно готовит кофе😋",positive
"Атмосферное, уютное место. Обслуживание хорошее, кассир Бакытгуль очень приветливая ✨",positive
"Персонал на низком уровне
 Обслуживание клиентов…..
 Больше приходить желания нет вовсе.",negative
Өте дәмді😊😊😊,positive
"всё очень вкусно и красиво, еще очень сытно.мне понравилось🫶🏻🫶🏻",positive
"Очень вкусные блюда,все очень сытно😻и цены бомба,прихожу сюда каждую неделю😋",positive
все отлично,positive
Все очень вкусно и приятное заведение советую,positive
"Приятный персонал, очень уютно,кассир Камила очень приветливая и приятная девушка в обслуживаниии)",positive
Все было очень вкусно😍,positive
Очень вкусно и удобно,positive
Очееень вкусно😋😍,positive
"Обслуживание, тамақ, шай бәрі керемет 👍🏻. Көңілімізден шықты, рахмет!",positive
"Было вкусно и красиво. Карак чай теперь один из фаворитов. БаракаЛлаху фикум, ещё приду✨",positive
"Четкое местно, понравилось уютно и вкусно",positive
Мощный жер ғой🔥🔥🔥,positive
"Дәмді және қонақжайлы жер екен, Тамаша, тек Алға)",positive
Очень классное место,positive
Очень уютное место👍,positive
Очень классное заведение 👍,positive
"Красивый интерьер
 Баристы очень хорошо делают кофе и цены приемлемые
 Обслуживание на высшем уровне",positive
Очень отличное местечко Карак чай вообще бомба🫂👍🔥,positive
"Оченььььь вкусно 😋 Рахмет
 Каждый день приходим , всем советую
 Уютное место )",positive
Очень классное заведение,positive
Все отлично,positive
Карак Хоумның атмосферасы өте жылы әрі жайлы. Араб шайы мен тағамдары ерекше дәмді,positive
"Попробовал японские панкейки, очень вкусные и приготовили быстро, что очень удивило👍 персонал дружелюбный! Успехов Вам",positive
Отличное место! Приходите насладиться вкусным карай чай ✊,positive
Отличный место,positive
Очень классное заведение мне понравилось 🔥,positive
Всем асслам Аликум все было классно на высшем уровне,positive
"Всем ассалаумагалейкум!
 Бомбовое место, всё на высшем уровне.",positive
Спасибо за отличное кофе. Приятная атмосфера и хорошие сотрудники.,positive
"Всем советую посетить данное заведение , по кухне все вкусно и персонал очень вежливый 👍🏿",positive
очень вкусно спасибо,positive
Был очень сильно впечатлен кухней и особенно чаем. Теперь только Карак 🔥,positive
"Очень уютное место где можно посидеть с родными и побеседовать,мне понравилось ставлю 5 звездд",positive
"Лучшее заведение в городе,всем советую🫂,кухню просто огонь 🔥🔥🔥",positive
"Өте жаксы жасайды тамактарын, 5 звезд",positive
"Кушти жер ,тамактары оте дамди 👍👍👍",positive
Все очень вкусно и выгодно👍👍👍 всем советую🔥🔥,positive
"Долгая подача, обслуживание совсем не очень👎на видео и фото в инстаграм блюда одни, а на деле совсем другие и порции маленькие.",negative
Очень долгая подача еды! Просто нереально. При концепции заведения фастфуд мы ждали 2 заказа 40 минут и еще 1 больше часа. Просто ужас!,negative
"Зачем открывать заведение, если по меню только лимонады, для чего рекламировать Японские панкейки, если их нет в меня 🤦🏻‍♀️ УЖАСНО",negative
"Очееень долгая подача…. Вафли ждали ровно 50 минут , было вкусно )
 Но 50 минут это уж слишком",negative
"Само по себе заведение не плохое.. но есть много нюансов.
 Обслуживание-0
 Знание Меню -0
 Ожидание заказа От 40 минут
 Много позиций нет в наличии …",negative
Пита с курицей 🔥 очень вкусно. Еще по акции с лимонадом 😋,positive
"Чизкейктері өте дәмді, іші атмосферный, таза жұмыс жасайды, персоналдары вежливый 🥰",positive
Ең керемет жер,positive
Самый лучшое место❤️❤️❤️,positive
Өте керемет және атмосфераға толы жер🙌🏻,positive
"Здесь уютно,ну тут что то нехватает , можно добавить музыку спокойную или звук птиц ,питы хорошы и кофе тоже.",neutral
"Отличное заведение! Тепло, уютно и очень вкусно! Обслуживание на вышке! Мне очень понравилось!",positive
"Хорошее заведение, очень вкусный карак чай 👍",positive
Очень вкусный карак чай и прекрасный персонал,positive
cappuccino so beautiful 😍😍😍❤️,positive
"Уютное заведение, хорошее местоположение. Отличный интерьер. Советую! Работают до часу ночи. Для посиделок с друзьями самое место.",positive
Ради Орешка готов на все,positive
Карак чай вкусный!,positive
Смысл писать номер если звонок не доходит постоянно выключен,negative
Самый вкусные карак и чай👌,positive
"Очень приятно, красиво, нежно. Айгерим очень приятная, вежливая, миленькая девушка)",positive
"Милое заведение , вежливая девушка бариста , уютно и вкусно 😋",positive
Очень вежливый персонал все очень вкусно советую посетить 👍👍👍,positive
Өтте жайлы жер тыныш тамақтары да дәмді кофе шәй 👍👍 көңілден шықты баруға кеңес берем 👍 персонал очень вежливые к каждому клиенту знают подход 👍,positive
"Барлығы өте дәмді, әрі свежий. Әсіресе кофе, шәй бәрі ыстық бетінде беріледі. Обслуживание жоғары деңгейде. Көркейіп, өсе беріңіздер!",positive
"Шәй дәмді, ерекше☕ обслуживание 👍🏼",positive
"Давно хотела попробовать Карак чай, сегодня пришла попить. Очень понравился на вкус приятный. Советую вам посетить это заведение.",positive
"Әдемі жер. Құрбыларымызбен арнайы карак шайын ішуге келгенбіз. Тәтті ерекше, десерттері де тәтті екен 👍👍👍",positive
"Очень приятная обстановка, обслуживание отличное и главное вежливое. Прекрасное место",positive
"Атмосферно, очень вкусно, вежливый персонал.",positive
"Офигенно вкусно, приветливый персонал",positive
Карак чай one love ❤️,positive
Чапати өте дәмді 😍😍😍 сметандары топчик ✨,positive
Самый вкусный чай в городе😍,positive
Классный кофе и чай карак👌,positive
"Өте керемет екен, сатушылары сыпайы тамақтары тіл үйіретіндей өте дәмді. Тез дайын болады екен. Іші таза жылы жанға жайлы. Келуге кеңес беремін",positive
Керемет сервис😇!,positive
Смузи восхитительны!,positive
😍😍one love,positive
"Заведение неплохое, но цены завышены сильно",neutral
"Тыныш әрі жайлы. Карактың өзіннің арнайы демдеп, дайындайтын шайдың түрін ішуге кеңес беремін.",positive
Очень уютное заведение всегда со вкусными десертами❤️,positive
"Просили сделать без льда милкшейк, сделали со льдом, на что они потом выловили лед и разбавили молоком в итоге вкус получился ужасный",negative
Не так просторно как на фото,negative
"Очень аппетитная витрина, свежие десерты и вкусный кофе",positive
"Уютное место , очень вежливый персонал, вкусно 👍🏼",positive
Написано что работает круглосуточно. По факту с 10.00,neutral
"Топ заведение в Караганде где можно уютно посидеть, выпить легендарный Карак чай и перекусить фирменными куруасанами из семги.
 Всем советую!",positive
Классное заведение👍👍👍,positive
"Карак чай это что новое для меня, очень понравился, заезжаю постоянно теперь 😁 не фейк отзыв",positive
У Вас написано круглосуточно!!! Почему не актуальная информация???,negative
"Уютная кофейня, вежливый персонал, вкусный кофе и десерты😍
 Спасибо большое, придём ещё)",positive
"офигенная кофейня, персонал на уровне - видно профессионалы, обслуживание, вкус все на уровне. Спасибо вам",positive
"Все вкусно , красиво , четко 👍🏻",positive
"Обслуживание 10/10
 Интерьер 10/10
 Чай 10/10
 Всем советую 👍🏻",positive
"Была в этом заведении очень приветливый персонал,фирменные чаи а так же понравилось интерьер и уют,советую всем посетить это заведения👍",positive
"Вкусно, прям 🔥
 Халал😍
 10/10✅",positive
"Чай очень вкусный,всем советую😊👍",positive
Очень приятно и классно,positive
Персонал кофейни всегда радует своей улыбкой и приветливым отношением. Люблю такие светлые и уютные места!,positive
"Заменил кофе на Карак чай,это послевкусие как будто переносит тебя в без крайние пустыни востока.
 Очень вкусно всем советую !",positive
"Очень все вкусно 👍Чай и десерты просто супер ,отзывчивые сотрудники и приятная Атмосфера 🙌туалет очень чистый на это всегда обращаю внимательнее,5/5",positive
Уютный тихий и можно насладится атмосферой,negative
"Два дня подряд приходим , а тут говорят нету карака , что за заведение? Ладно первый день , но и сегодня тоже нету !!!",positive
"Эстетика, вкус, чай карак = энергия! Четкое заведение! Самое то для посиделок за уютными разговорами!",positive
"Очень хорошее и уютное заведение без музыки, отлично подойдет для работы с ноутбуком, большой ассортимент и вежливый персонал!",positive
"Обслуживание 10/10, Очень вкусные десерты и приятная атмосфера😍",positive
"Отличный сервис и уютное заведение. Часто бываю здесь, большой ассортимент и всегда вкусно . ставлю 5 звезд 🫂",positive
Атмосферная кофейня 💫 Karak-чай безумно вкусный😍 Вкусняшки к чаю бесподобные 😋 Рекомендую всем попробовать синнабон и коктейль “Ice Nutella”🤤,positive
"Өте керемет, әдемі кофейня! Барлығы дәмді! Қызмет көрсету жоғары деңгейде! Барлығыңызға кеңес беремін👍",positive
Очень крутое и уютное заведение . Лучший в городе карак чай . Фирменный милкшейк и очень приятная атмосфера,positive
Обслуживание 👎🏿 как можно забыть про клиентов 🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️,negative
"Очень вкусный финиковый милкшейк, с чапати с творожным сыром просто 🔥",positive
Очень хороший заведения. Мне понравилось. Фирменный чай 😍😍😍😍😍😍😍😍,positive
"Очень уютное кафе, цены приемлемые мне все понравилось",positive
"Өте керемет орын , барлығына кеңес беремін !",positive
Лучшие! Обожаю это место,positive
Вкусный чай.,positive
Всё очень вкусно и на высшем уровне!,positive
"Отличное место,самые вкусные кофе,кассиры очень вежливые хорошие.Удобно что до ночи работают 👍😍 Классная место всем советую 🥰",positive
"Өте керемет, жайлы орын. Тағамдары да дәмді, өз бағасына тұрарлық. Персоналдар да сыпайы. Маған ерекше ұнады, рақмет!",positive
"Мощно
 👍👍👍👍👍",positive
Ассаляму алейкум) здесь есть молельная комната?,neutral
"Керемет, жайлы, дәмді. Осы бағытта жалғастыра беріңдер!",positive
"Вчера была дали остаток чая Адани , внутри мусор 🤦🏻‍♀️ десерт твердый как камень 👎👎👎даже не извинились , про возврат денег вообще молчу …",negative
"Кассир Адиль самый лучший. Классное обслуживание. Десерты свежие вкусные.
 Рекомендую!!!!",positive
"Отличное место, ребята отзывчивые👍",positive
"Попробовали в первые очень понравилось! Всем советую! Уютное атмосфера, обслуживание высшего класса !!!!",positive
"Сегодня посетили с друзьями данное заведение, попробовали чай Карака и приятно были удивлены. Всем советую👍🏻",positive
"Очень вкусно, советую!
 Отличное место.",positive
"Отличное место, атмосфера хорошая. Необычный чай.",positive
Ждём открытия 👍,neutral